numero_compte,code_client,type_compte,produit_bancaire,statut_compte,date_ouverture,devise,solde_initial
237-01-762003104,CUST-0002125,Commerçant,Compte commerçant,Actif,2023-10-11,FCFA,3389782
237-01-411563551,CUST-0003944,Courant,Compte courant,Actif,2018-04-25,FCFA,1247178
237-01-459085738,CUST-0003798,Association,Compte association,Actif,01/04/2022,FCFA,946296
237-01-177007707,CUST-0004851,Courant,Compte courant,Actif,11/04/2018,XAF,17554
237-01-262112017,CUST-0005961,Professionnel,Crédit commercial,Actif,2026-03-23,FCFA,3544287
237-01-588529521,CUST-0003525,Épargne,Épargne classique,Actif,2024-10-09,XAF,718849
237-01-744324430,CUST-0003619,Épargne,Épargne classique,Actif,2025-11-19,XAF,2942200
237-01-246660966,CUST-0000316,Courant,Compte salaire,Actif,2017-01-08,XAF,3089421
237-01-196628372,CUST-0005251,Épargne,Épargne classique,Actif,2023-09-21,XAF,2326052
237-01-643576337,CUST-0001381,Épargne,Épargne classique,Actif,2024/01/02,FCFA,1397437
237-01-654754425,CUST-0000651,Épargne,Épargne classique,Actif,2024-12-30,FCFA,1637390
237-01-512877352,CUST-0000486,Association,Compte association,Actif,2017-08-05,FCFA,4577622
237-01-557047252,CUST-0002836,Courant,Compte courant,Actif,2025-01-14,FCFA,881430
237-01-759270027,CUST-0001513,Professionnel,Compte professionnel,Actif,22/02/2017,FCFA,3295437
237-01-394834597,CUST-0003547,Courant,Compte salaire,Actif,05/05/2023,XAF,4260165
237-01-315941431,CUST-0000478,Courant,Compte salaire,Actif,2023-12-17,XAF,889015
237-01-170516037,CUST-0003955,Épargne,Épargne projet,Actif,2018/04/02,XAF,59109
237-01-550677973,CUST-0002227,Professionnel,Compte professionnel,Actif,2023/05/04,XAF,1169404
237-01-900389477,CUST-0001045,Épargne,Épargne projet,Bloqué,2020/12/09,XAF,3640033
237-01-638372693,CUST-0003839,Courant,Compte courant,Actif,2018-11-23,FCFA,1700888
237-01-194390626,CUST-0006156,Association,Compte association,Actif,2022-10-02,XAF,4203429
237-01-501416617,CUST-0000520,Épargne,Épargne projet,Actif,2017-04-01,FCFA,45888
237-01-384783740,CUST-0002540,Épargne,Épargne classique,Actif,2024-05-15,XAF,2384046
237-01-591888487,CUST-0004105,Professionnel,Compte professionnel,Actif,2021/01/14,FCFA,155260
237-01-650172472,CUST-0000287,Professionnel,Crédit scolaire,Actif,2020-10-22,FCFA,2687037
237-01-269495487,CUST-0000161,Épargne,Épargne projet,Actif,2019-06-29,XAF,4630270
237-01-748287497,CUST-0002671,Professionnel,Crédit commercial,Actif,2025-12-10,FCFA,582586
237-01-958543314,CUST-0002574,Tontine,Compte tontine,Actif,2020-01-23,FCFA,1759048
237-01-149755092,CUST-0001430,Tontine,Compte tontine,Actif,2021/09/08,XAF,1627798
237-01-113850244,CUST-0002762,Professionnel,Crédit scolaire,Actif,2021-10-14,FCFA,3350763
237-01-520284563,CUST-0005227,Épargne,Épargne projet,Actif,2018/03/11,XAF,3733625
237-01-900058976,CUST-0006142,Commerçant,Compte commerçant,Actif,2018-04-18,XAF,1813016
237-01-284473167,CUST-0003287,Épargne,Épargne jeune,Actif,2023-09-19,FCFA,294414
237-01-847620896,CUST-0005692,Épargne,Épargne jeune,Bloqué,2019-06-18,FCFA,396183
237-01-309982149,CUST-0002752,Professionnel,Compte professionnel,Clôturé,2017-03-17,XAF,1459682
237-01-156907472,CUST-0002412,Commerçant,Compte commerçant,Bloqué,2024-06-11,XAF,3203514
237-01-876627423,CUST-0002721,Commerçant,Compte commerçant,Actif,2023-08-10,XAF,191931
237-01-912605354,CUST-0003501,Épargne,Épargne classique,Actif,26/10/2025,FCFA,772609
237-01-252767541,CUST-0003584,Épargne,Épargne jeune,Actif,2025-05-21,XAF,4191567
237-01-404914542,CUST-0000849,Commerçant,Compte commerçant,Actif,2021-09-02,FCFA,2147324
237-01-926479228,CUST-0005827,Professionnel,Crédit scolaire,Actif,2023/08/07,FCFA,2517024
237-01-129711130,CUST-0000524,Courant,Compte salaire,Actif,2020-05-16,XAF,2198835
237-01-674933197,CUST-0002213,Commerçant,Compte commerçant,Actif,2025-06-22,XAF,1292083
237-01-836171119,CUST-0002119,Courant,Compte courant,Actif,2021-11-29,XAF,12334
237-01-960898500,CUST-0003959,Épargne,Épargne classique,Actif,2023-06-30,XAF,355640
237-01-343873444,CUST-0005796,Commerçant,Compte commerçant,Actif,2026-02-28,XAF,623457
237-01-691106094,CUST-0002526,Épargne,Épargne projet,Actif,2025-07-16,FCFA,1064955
237-01-375669876,CUST-0004069,Professionnel,Compte professionnel,Actif,2019-04-10,FCFA,945019
237-01-816634137,CUST-0001960,Association,Compte association,Clôturé,2025-12-11,XAF,682382
237-01-210531533,CUST-0004350,Professionnel,Compte professionnel,Actif,2021-02-15,FCFA,2516582
237-01-955050486,CUST-0005389,Professionnel,Crédit commercial,Actif,2021-10-04,FCFA,467163
237-01-802063085,CUST-0003204,Professionnel,Crédit commercial,Actif,2024-01-10,FCFA,2055328
237-01-457936602,CUST-0006091,Courant,Compte courant,Actif,2019-07-24,FCFA,3050878
237-01-119237444,CUST-0001856,Épargne,Épargne classique,Actif,2024-03-19,FCFA,389966
237-01-875053527,CUST-0001044,Professionnel,Crédit commercial,Dormant,2021/07/23,FCFA,555648
237-01-830178019,CUST-0004554,Commerçant,Compte commerçant,Actif,2017-10-26,XAF,3825485
237-01-544779123,CUST-0003973,Épargne,Épargne jeune,Actif,2017-08-01,XAF,1496815
237-01-758453316,CUST-0005002,Professionnel,Crédit commercial,Actif,2023-05-27,XAF,1485479
237-01-842734129,CUST-0002654,Épargne,Épargne projet,Actif,2021-06-16,FCFA,914727
237-01-223541378,CUST-0003101,Association,Compte association,Actif,2021-12-12,XAF,4917373
237-01-375097737,CUST-0005978,Tontine,Compte tontine,Actif,2023-09-19,XAF,1343553
237-01-516389841,CUST-0001837,Épargne,Épargne projet,Actif,2021/03/23,XAF,4055542
237-01-547652906,CUST-0004140,Professionnel,Compte professionnel,Actif,2020-07-08,XAF,1083333
237-01-996430153,CUST-0000633,Professionnel,Compte professionnel,Actif,2026-03-23,XAF,4710281
237-01-383037175,CUST-0006103,Épargne,Épargne projet,Actif,2021-02-18,FCFA,767406
237-01-154789224,CUST-0000751,Tontine,Compte tontine,Actif,11/08/2022,FCFA,477900
237-01-414960547,CUST-0000218,Commerçant,Compte commerçant,Actif,2022-07-27,FCFA,3534587
237-01-856820178,CUST-0001565,Professionnel,Crédit scolaire,Actif,2019-01-19,FCFA,1438315
237-01-137136283,CUST-0003352,Courant,Compte courant,Actif,2017-05-02,XAF,3713171
237-01-766044679,CUST-0002494,Courant,Compte salaire,Actif,2018-10-29,XAF,869243
237-01-861498916,CUST-0003638,Professionnel,Crédit commercial,Clôturé,2022-11-05,XAF,4524456
237-01-940294238,CUST-0004860,Commerçant,Compte commerçant,Bloqué,2025-02-01,FCFA,4984069
237-01-312940245,CUST-0003208,Épargne,Épargne classique,Actif,2023-09-17,XAF,140720
237-01-968281454,CUST-0004071,Professionnel,Crédit commercial,Clôturé,2022-09-20,XAF,3664579
237-01-919804349,CUST-0003398,Commerçant,Compte commerçant,Actif,2019-05-14,FCFA,265894
237-01-871739137,CUST-0005370,Épargne,Épargne jeune,Actif,17/05/2017,XAF,1906341
237-01-125671743,CUST-0002763,Épargne,Épargne classique,Actif,2022-07-06,FCFA,1966257
237-01-200423997,CUST-0003207,Courant,Compte salaire,Actif,2017-05-21,FCFA,2879116
237-01-150988950,CUST-0001850,Courant,Compte salaire,Actif,2024-05-22,XAF,1593998
237-01-143093632,CUST-0001278,Tontine,Compte tontine,Bloqué,2024-04-19,FCFA,309281
237-01-161106245,CUST-0000996,Professionnel,Crédit commercial,Actif,2024/12/28,FCFA,3415782
237-01-388581040,CUST-0004298,Commerçant,Compte commerçant,Actif,2022-02-26,FCFA,2782847
237-01-968660877,CUST-0004701,Courant,Compte courant,Actif,11/08/2025,XAF,4250940
237-01-243477078,CUST-0001909,Association,Compte association,Actif,2022/05/22,XAF,1586665
237-01-904017019,CUST-0005133,Professionnel,Crédit commercial,Actif,2025-07-15,FCFA,4931291
237-01-267584164,CUST-0001612,Professionnel,Crédit scolaire,Actif,2017-01-17,FCFA,3050661
237-01-865002859,CUST-0002150,Courant,Compte salaire,Actif,2021/11/22,FCFA,2167648
237-01-205437668,CUST-0002657,Association,Compte association,Actif,2019-09-08,FCFA,1525796
237-01-569845969,CUST-0004053,Professionnel,Crédit commercial,Actif,2018-03-31,XAF,805034
237-01-221676371,CUST-0005401,Épargne,Épargne projet,Actif,2025-08-29,FCFA,1421040
237-01-576134782,CUST-0005625,Épargne,Épargne projet,Actif,2019-08-28,FCFA,2363560
237-01-466061552,CUST-0001854,Professionnel,Crédit scolaire,Actif,2021/05/13,XAF,3773828
237-01-212579486,CUST-0000062,Professionnel,Compte professionnel,Actif,2019-09-10,FCFA,1874157
237-01-162132522,CUST-0000007,Commerçant,Compte commerçant,Clôturé,2022-01-20,XAF,601063
237-01-761188408,CUST-0001900,Courant,Compte courant,Actif,2025-04-18,FCFA,308804
237-01-614945525,CUST-0005195,Association,Compte association,Actif,2017-05-26,FCFA,553392
237-01-869638381,CUST-0004168,Professionnel,Crédit scolaire,Actif,2019-06-10,XAF,2352033
237-01-905978922,CUST-0005288,Épargne,Épargne jeune,Actif,2021-02-20,FCFA,3208007
237-01-932607139,CUST-0003814,Épargne,Épargne jeune,Actif,2025-06-30,FCFA,79043
237-01-543070281,CUST-0004239,Professionnel,Compte professionnel,Actif,2019-10-13,XAF,3310530
237-01-957472510,CUST-0000604,Courant,Compte courant,Actif,08/07/2020,FCFA,1622149
237-01-115660473,CUST-0006083,Épargne,Épargne jeune,Actif,2019-04-24,FCFA,398545
237-01-877740084,CUST-0001277,Professionnel,Compte professionnel,Actif,2023-11-04,FCFA,188871
237-01-337625427,CUST-0000786,Épargne,Épargne projet,Actif,2024/09/25,FCFA,2049185
237-01-707921572,CUST-0000998,Commerçant,Compte commerçant,Actif,2019/01/29,FCFA,3249516
237-01-317016059,CUST-0005596,Professionnel,Compte professionnel,Actif,2023-07-28,FCFA,668117
237-01-897256025,CUST-0005345,Professionnel,Crédit scolaire,Dormant,2017-10-28,XAF,806497
237-01-926408544,CUST-0004446,Épargne,Épargne projet,Actif,2020-06-08,FCFA,4692016
237-01-733188266,CUST-0005993,Épargne,Épargne jeune,Actif,2026-05-19,FCFA,1657729
