id_compte,numero_compte,type_compte,produit_bancaire,statut_compte,date_ouverture
1,237-01-100033387,Tontine,Compte tontine,Actif,2019-03-01
2,237-01-100220559,Association,Compte association,Actif,2025-06-06
3,237-01-100413078,Professionnel,Crédit scolaire,Actif,2017-10-07
4,237-01-100450561,Professionnel,Compte professionnel,Actif,2020-10-24
5,237-01-100454941,Courant,Compte salaire,Actif,2020-10-04
6,237-01-100739347,Tontine,Compte tontine,Actif,2021-11-07
7,237-01-100772975,Épargne,Épargne jeune,Actif,2025-06-12
8,237-01-100776936,Épargne,Épargne projet,Actif,2022-03-14
9,237-01-100953981,Professionnel,Crédit commercial,Actif,2018-06-29
10,237-01-101102449,Commerçant,Compte commerçant,Actif,2019-11-12
11,237-01-101344710,Professionnel,Crédit scolaire,Dormant,2023-08-29
12,237-01-101444269,Tontine,Compte tontine,Actif,2021-03-26
13,237-01-101604810,Commerçant,Compte commerçant,Actif,2019-10-09
14,237-01-101765479,Commerçant,Compte commerçant,Actif,2021-12-31
15,237-01-101822480,Association,Compte association,Actif,2019-07-01
16,237-01-101993441,Épargne,Épargne classique,Actif,2021-01-11
17,237-01-102039599,Courant,Compte courant,Actif,2022-04-25
18,237-01-102392493,Courant,Compte salaire,Actif,2024-12-22
19,237-01-102460748,Épargne,Épargne projet,Actif,2024-12-26
20,237-01-102556888,Courant,Compte courant,Actif,2020-02-11
21,237-01-102646548,Professionnel,Crédit commercial,Actif,2018-09-04
22,237-01-102747378,Épargne,Épargne jeune,Actif,2021-04-27
23,237-01-102906111,Professionnel,Compte professionnel,Actif,2023-12-08
24,237-01-103238360,Courant,Compte salaire,Actif,2020-07-28
25,237-01-103454922,Courant,Compte courant,Actif,2024-10-17
26,237-01-103460306,Épargne,Épargne projet,Actif,2021-07-06
27,237-01-103557178,Épargne,Épargne jeune,Actif,2017-11-16
28,237-01-103666296,Commerçant,Compte commerçant,Actif,2025-09-28
29,237-01-103674129,Professionnel,Compte professionnel,Actif,2018-02-08
30,237-01-103777766,Tontine,Compte tontine,Actif,2022-01-08
31,237-01-103946196,Tontine,Compte tontine,Actif,2024-01-22
32,237-01-104050580,Professionnel,Compte professionnel,Actif,2019-08-17
33,237-01-104199674,Professionnel,Compte professionnel,Actif,2017-11-29
34,237-01-104228171,Épargne,Épargne classique,Actif,2025-02-12
35,237-01-104236774,Professionnel,Compte professionnel,Actif,2024-03-15
36,237-01-104253631,Épargne,Épargne jeune,Actif,2022-09-27
37,237-01-104401593,Courant,Compte salaire,Actif,2022-10-06
38,237-01-104466324,Commerçant,Compte commerçant,Actif,2024-03-17
39,237-01-104612607,Courant,Compte courant,Actif,2022-06-08
40,237-01-104754514,Épargne,Épargne jeune,Actif,2026-02-20
41,237-01-104757312,Professionnel,Crédit commercial,Actif,2025-10-10
42,237-01-104773107,Tontine,Compte tontine,Actif,2019-04-28
43,237-01-104825825,Tontine,Compte tontine,Actif,2026-04-10
44,237-01-104831663,Épargne,Épargne projet,Actif,2025-07-29
45,237-01-105058644,Épargne,Épargne jeune,Actif,2019-02-01
46,237-01-105102801,Professionnel,Crédit commercial,Clôturé,2020-01-27
47,237-01-105167632,Association,Compte association,Actif,2021-09-26
48,237-01-105185660,Épargne,Épargne classique,Clôturé,2019-04-04
49,237-01-105318123,Commerçant,Compte commerçant,Actif,2018-05-22
50,237-01-105339107,Tontine,Compte tontine,Clôturé,2019-12-16
51,237-01-105369027,Professionnel,Crédit scolaire,Actif,2022-05-19
52,237-01-105563469,Association,Compte association,Actif,2025-09-27
53,237-01-105634560,Courant,Compte courant,Actif,2021-12-27
54,237-01-105679390,Professionnel,Crédit commercial,Actif,2023-01-30
